3 D моделиров факультатив;3 D модел фак
Устройство технологического оборудования;УТО
Учебная практика;Учебная практик
Учебная практика в соответствии со специализацией;Уч практ спец
Учебная практика для получения профессии рабочего;Уч прак проф
Учебная практика КИП и А;Уч прак КИПиА
Учебная практика по веб-программированию;Уч практ по ВП
Учебная практика по делопроизводству;Уч. практ.делоп
Учебная практика по диагностике;Уч практ диагн
Учебная практика по информационнным технологиям;Уч прак инф тех
Учебная практика по компьтерной обработке, павильонной и внепавильонной съемки;Уч практ по КО
Учебная практика по монтажу узлов и блоков;Уч практ по МУБ
Учебная практика по программированию;Уч прак програм
Учебная практика по разработке и совпровождению программного обеспечения мобильных устройств;Уч прак РСПОМУ
Учебная практика по разработке ПО;Уч прак РПО
Учебная практика по технологии обработки информации на компьютере;Уч практ
факультатив;факультатив
Факультатив по ФКиЗ;Факульт ФКиЗ
Физика;Физика
Физика твердого тела;Физика ТТ
Физика твердого тела и активных элементов микросхем;Физика тв тела
Физическая культура и здоровье;ФЗКиЗ
Физическая химия;Физ химия
Финансы и кредит;Финансы и креди
Фотооборудование;Фотооборудовани
Фотосъемка;Фотосъемка
Функциональная микроэлектроника;Функц. микроэл.
Химия;Химия
Черчение;Черчение
Экономика организации;Экономика орган
Электрические аппараты;Эл аппараты
Электрические и электронные компоненты устройств и систем;Эл компоненты
Электрические измерения;ЭлИз
Электрические машины;Эл машины
Электрические машины и аппараты;ЭМА
электрические расчеты в дипломном проектировании;эл-ские рачеты
Электрическое освещение;Эл.освещ.
Электробезопасность;Эл.безопасность
Электроизмерения;Электроизм
Электроизмерительная практика;ЭлИз практика
Электроматериаловедение;Электр Мат Вед
Электромонтажная практика;Элект практ
электроника для любознательных;эл-ка для любоз
Электронный офис;ЭлО
Электрооборудование предприятий и гражданских зданий;Электрооб.ПиГЗ
Электропривод;Электропривод
Электрорадиоизмерения;ЭРИ
Электрорадиоэлементы и устройства функциональной электроники;ЭРЭиУФЭ
Электроснабжение предприятий и гражданских зданий;Электроснаб
Электротехника;Электротехника
Электротехника с основами электроники;Эл с осн электр
Электротехнические материалы;Элтехмат
элктричесиво и химия;эл-во и химия
